symbol,company_name,isin_number,series,market_type
COHANCE,Cohance Lifesciences Limited,INE03QK01018,EQ,NSE
COLPAL,Colgate Palmolive (India) Limited,INE259A01022,EQ,NSE
COMPINFO,Compuage Infocom Limited,INE070C01037,BZ,NSE
COMPUSOFT,Compucom Software Limited,INE453B01029,EQ,NSE
COMSYN,Commercial Syn Bags Limited,INE073V01015,EQ,NSE
CONCOR,Container Corporation of India Limited,INE111A01025,EQ,NSE
CONCORDBIO,Concord Biotech Limited,INE338H01029,EQ,NSE
CONFIPET,Confidence Petroleum India Limited,INE552D01024,EQ,NSE
CONSOFINVT,Consolidated Finvest & Holdings Limited,INE025A01027,EQ,NSE
CONTROLPR,Control Print Limited,INE663B01015,EQ,NSE
CORALFINAC,Coral India Finance & Housing Limited,INE558D01021,EQ,NSE
CORDSCABLE,Cords Cable Industries Limited,INE792I01017,EQ,NSE
COROMANDEL,Coromandel International Limited,INE169A01031,EQ,NSE
COSMOFIRST,COSMO FIRST LIMITED,INE757A01017,EQ,NSE
COUNCODOS,Country Condo's Limited,INE695B01025,BE,NSE
CPCAP,CP Capital Limited,INE521J01018,EQ,NSE
CRAFTSMAN,Craftsman Automation Limited,INE00LO01017,EQ,NSE
CREATIVE,Creative Newtech Limited,INE985W01018,EQ,NSE
CREATIVEYE,Creative Eye Limited,INE230B01021,BE,NSE
CREDITACC,CREDITACCESS GRAMEEN LIMITED,INE741K01010,EQ,NSE
CREST,Crest Ventures Limited,INE559D01011,EQ,NSE
CRISIL,CRISIL Limited,INE007A01025,EQ,NSE
CRIZAC,Crizac Limited,INE0S4R01014,EQ,NSE
CROMPTON,Crompton Greaves Consumer Electricals Limited,INE299U01018,EQ,NSE
CROWN,Crown Lifters Limited,INE491V01019,EQ,NSE
CSBBANK,CSB Bank Limited,INE679A01013,EQ,NSE
CSLFINANCE,CSL Finance Limited,INE718F01018,EQ,NSE
CTE,Cambridge Technology Enterprises Limited,INE627H01017,BE,NSE
CUB,City Union Bank Limited,INE491A01021,EQ,NSE
CUBEXTUB,Cubex Tubings Limited,INE144D01012,BE,NSE
CUMMINSIND,Cummins India Limited,INE298A01020,EQ,NSE
CUPID,Cupid Limited,INE509F01029,EQ,NSE
CURAA,Cura Technologies Limited,INE117B01020,BE,NSE
CYBERMEDIA,Cyber Media (India) Limited,INE278G01037,EQ,NSE
CYBERTECH,Cybertech Systems And Software Limited,INE214A01019,BE,NSE
CYIENT,Cyient Limited,INE136B01020,EQ,NSE
CYIENTDLM,Cyient DLM Limited,INE055S01018,EQ,NSE
DABUR,Dabur India Limited,INE016A01026,EQ,NSE
DALBHARAT,Dalmia Bharat Limited,INE00R701025,EQ,NSE
DALMIASUG,Dalmia Bharat Sugar and Industries Limited,INE495A01022,EQ,NSE
DAMCAPITAL,Dam Capital Advisors Limited,INE284H01025,EQ,NSE
DAMODARIND,Damodar Industries Limited,INE497D01022,EQ,NSE
DANGEE,Dangee Dums Limited,INE688Y01022,BE,NSE
DATAMATICS,Datamatics Global Services Limited,INE365B01017,EQ,NSE
DATAPATTNS,Data Patterns (India) Limited,INE0IX101010,EQ,NSE
DAVANGERE,Davangere Sugar Company Limited,INE179G01029,EQ,NSE
DBCORP,D.B.Corp Limited,INE950I01011,EQ,NSE
DBEIL,Deepak Builders & Engineers India Limited,INE0OPA01019,EQ,NSE
DBL,Dilip Buildcon Limited,INE917M01012,EQ,NSE
DBOL,Dhampur Bio Organics Limited,INE0I3401014,EQ,NSE
DBREALTY,Valor Estate Limited,INE879I01012,BE,NSE
DBSTOCKBRO,DB (International) Stock Brokers Limited,INE921B01025,EQ,NSE
DCAL,Dishman Carbogen Amcis Limited,INE385W01011,BE,NSE
DCBBANK,DCB Bank Limited,INE503A01015,EQ,NSE
DCI,Dc Infotech And Communication Limited,INE0A1101019,EQ,NSE
DCM,DCM  Limited,INE498A01018,EQ,NSE
DCMFINSERV,DCM Financial Services Limited,INE891B01012,BE,NSE
DCMNVL,DCM Nouvelle Limited,INE08KP01019,EQ,NSE
DCMSHRIRAM,DCM Shriram Limited,INE499A01024,EQ,NSE
DCMSRIND,DCM Shriram Industries Limited,INE843D01027,EQ,NSE
DCW,DCW Limited,INE500A01029,EQ,NSE
DCXINDIA,DCX Systems Limited,INE0KL801015,EQ,NSE
DDEVPLSTIK,Ddev Plastiks Industries Limited,INE0HR601026,EQ,NSE
DECCANCE,Deccan Cements Limited,INE583C01021,EQ,NSE
DEEDEV,DEE Development Engineers Limited,INE841L01016,EQ,NSE
DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited,INE501A01019,EQ,NSE
DEEPAKNTR,Deepak Nitrite Limited,INE288B01029,EQ,NSE
DEEPINDS,Deep Industries Limited,INE0FHS01024,EQ,NSE
DELHIVERY,Delhivery Limited,INE148O01028,EQ,NSE
DELPHIFX,DELPHI WORLD MONEY LIMITED,INE726L01019,BE,NSE
DELTACORP,Delta Corp Limited,INE124G01033,EQ,NSE
DELTAMAGNT,Delta Manufacturing Limited,INE393A01011,BE,NSE
DEN,Den Networks Limited,INE947J01015,EQ,NSE
DENORA,De Nora India Limited,INE244A01016,EQ,NSE
DENTA,Denta Water and Infra Solutions Limited,INE0R4L01018,EQ,NSE
DEVIT,Dev Information Technology Limited,INE060X01026,EQ,NSE
DEVYANI,Devyani International Limited,INE872J01023,EQ,NSE
DGCONTENT,Digicontent Limited,INE03JI01017,BE,NSE
DHAMPURSUG,Dhampur Sugar Mills Limited,INE041A01016,EQ,NSE
DHANBANK,Dhanlaxmi Bank Limited,INE680A01011,EQ,NSE
DHANI,Dhani Services Limited,INE274G01010,EQ,NSE
DHANUKA,Dhanuka Agritech Limited,INE435G01025,EQ,NSE
DHARAN,DHARAN INFRA-EPC LIMITED,INE278R01034,BE,NSE
DHARMAJ,Dharmaj Crop Guard Limited,INE00OQ01016,BE,NSE
DHRUV,Dhruv Consultancy Services Limited,INE506Z01015,BE,NSE
DHUNINV,Dhunseri Investments Limited,INE320L01011,EQ,NSE
DIACABS,Diamond Power Infrastructure Limited,INE989C01038,EQ,NSE
DIAMINESQ,Diamines & Chemicals Limited,INE591D01014,EQ,NSE
DIAMONDYD,Prataap Snacks Limited,INE393P01035,EQ,NSE
DICIND,DIC India Limited,INE303A01010,EQ,NSE
DIFFNKG,Diffusion Engineers Limited,INE184O01015,EQ,NSE
DIGIDRIVE,Digidrive Distributors Limited,INE0PSC01024,EQ,NSE
DIGISPICE,DiGiSPICE Technologies Limited,INE927C01020,EQ,NSE
DIGITIDE,Digitide Solutions Limited,INE0U4701011,EQ,NSE
DIGJAMLMTD,Digjam Limited,INE731U01028,BE,NSE
DIL,Debock Industries Limited,INE411Y01011,BE,NSE
DISHTV,Dish TV India Limited,INE836F01026,BE,NSE
DIVGIITTS,Divgi Torqtransfer Systems Limited,INE753U01022,EQ,NSE
DIVISLAB,Divi's Laboratories Limited,INE361B01024,EQ,NSE
DIXON,Dixon Technologies (India) Limited,INE935N01020,EQ,NSE
DJML,DJ Mediaprint & Logistics Limited,INE0B1K01014,EQ,NSE
DLF,DLF Limited,INE271C01023,EQ,NSE
DLINKINDIA,D-Link (India) Limited,INE250K01012,EQ,NSE
DMART,Avenue Supermarts Limited,INE192R01011,EQ,NSE
DMCC,DMCC SPECIALITY CHEMICALS LIMITED,INE505A01010,EQ,NSE
DNAMEDIA,Diligent Media Corporation Limited,INE016M01021,EQ,NSE
DODLA,Dodla Dairy Limited,INE021O01019,EQ,NSE
DOLATALGO,Dolat Algotech Limited,INE966A01022,EQ,NSE
DOLLAR,Dollar Industries Limited,INE325C01035,EQ,NSE
DOLPHIN,Dolphin Offshore Enterprises (India) Limited,INE920A01037,EQ,NSE
DOMS,DOMS Industries Limited,INE321T01012,EQ,NSE
DONEAR,Donear Industries Limited,INE668D01028,EQ,NSE
DPABHUSHAN,D. P. Abhushan Limited,INE266Y01019,EQ,NSE
DPSCLTD,DPSC Limited,INE360C01024,EQ,NSE
DPWIRES,D P Wires Limited,INE864X01013,EQ,NSE
DRCSYSTEMS,DRC Systems India Limited,INE03RS01027,BE,NSE
DREAMFOLKS,Dreamfolks Services Limited,INE0JS101016,BE,NSE
DREDGECORP,Dredging Corporation of India Limited,INE506A01018,EQ,NSE
DRREDDY,Dr. Reddy's Laboratories Limited,INE089A01031,EQ,NSE
DSSL,Dynacons Systems & Solutions Limited,INE417B01040,EQ,NSE
DTIL,Dhunseri Tea & Industries Limited,INE341R01014,EQ,NSE
DUCON,Ducon Infratechnologies Limited,INE741L01018,EQ,NSE
DVL,Dhunseri Ventures Limited,INE477B01010,EQ,NSE
DWARKESH,Dwarikesh Sugar Industries Limited,INE366A01041,EQ,NSE
DYCL,Dynamic Cables Limited,INE600Y01019,EQ,NSE
DYNAMATECH,Dynamatic Technologies Limited,INE221B01012,EQ,NSE
DYNPRO,Dynemic Products Limited,INE256H01015,EQ,NSE
E2E,E2E Networks Limited,INE255Z01019,EQ,NSE
EASEMYTRIP,Easy Trip Planners Limited,INE07O001026,EQ,NSE
ECLERX,eClerx Services Limited,INE738I01010,EQ,NSE
ECOSMOBLTY,Ecos (India) Mobility & Hospitality Limited,INE06HJ01020,EQ,NSE
EDELWEISS,Edelweiss Financial Services Limited,INE532F01054,EQ,NSE
EICHERMOT,Eicher Motors Limited,INE066A01021,EQ,NSE
EIDPARRY,EID Parry India Limited,INE126A01031,EQ,NSE
EIEL,Enviro Infra Engineers Limited,INE0LLY01014,EQ,NSE
EIFFL,Euro India Fresh Foods Limited,INE546V01010,BE,NSE
EIHAHOTELS,EIH Associated Hotels Limited,INE276C01014,EQ,NSE
EIHOTEL,EIH Limited,INE230A01023,EQ,NSE
EIMCOELECO,Eimco Elecon (India) Limited,INE158B01016,EQ,NSE
EKC,Everest Kanto Cylinder Limited,INE184H01027,EQ,NSE
ELDEHSG,Eldeco Housing And Industries Limited,INE668G01021,EQ,NSE
ELECON,Elecon Engineering Company Limited,INE205B01031,EQ,NSE
ELECTCAST,Electrosteel Castings Limited,INE086A01029,EQ,NSE
ELECTHERM,Electrotherm (India) Limited,INE822G01016,EQ,NSE
ELGIEQUIP,Elgi Equipments Limited,INE285A01027,EQ,NSE
ELGIRUBCO,Elgi Rubber Company Limited,INE819L01012,BE,NSE
ELIN,Elin Electronics Limited,INE050401020,BE,NSE
ELLEN,Ellenbarrie Industrial Gases Limited,INE236E01022,EQ,NSE
EMAMILTD,Emami Limited,INE548C01032,EQ,NSE
EMAMIPAP,Emami Paper Mills Limited,INE830C01026,EQ,NSE
EMAMIREAL,Emami Realty Limited,INE778K01012,BE,NSE
EMBDL,Embassy Developments Limited,INE069I01010,EQ,NSE
EMCURE,Emcure Pharmaceuticals Limited,INE168P01015,EQ,NSE
EMIL,Electronics Mart India Limited,INE02YR01019,EQ,NSE
EMKAY,Emkay Global Financial Services Limited,INE296H01011,EQ,NSE
EMMBI,Emmbi Industries Limited,INE753K01015,EQ,NSE
EMSLIMITED,EMS Limited,INE0OV601013,EQ,NSE
EMUDHRA,eMudhra Limited,INE01QM01018,EQ,NSE
ENDURANCE,Endurance Technologies Limited,INE913H01037,EQ,NSE
ENERGYDEV,Energy Development Company Limited,INE306C01019,BE,NSE
ENGINERSIN,Engineers India Limited,INE510A01028,EQ,NSE
ENIL,Entertainment Network (India) Limited,INE265F01028,EQ,NSE
ENRIN,Siemens Energy India Limited,INE1NPP01017,EQ,NSE
ENTERO,Entero Healthcare Solutions Limited,INE010601016,EQ,NSE
EPACK,EPACK Durable Limited,INE0G5901015,EQ,NSE
EPIGRAL,Epigral Limited,INE071N01016,EQ,NSE
EPL,EPL Limited,INE255A01020,EQ,NSE
EQUIPPP,Equippp Social Impact Technologies Limited,INE217G01035,BE,NSE
EQUITASBNK,Equitas Small Finance Bank Limited,INE063P01018,EQ,NSE
ERIS,Eris Lifesciences Limited,INE406M01024,EQ,NSE
ESABINDIA,Esab India Limited,INE284A01012,EQ,NSE
ESAFSFB,ESAF Small Finance Bank Limited,INE818W01011,EQ,NSE
ESCORTS,Escorts Kubota Limited,INE042A01014,EQ,NSE
ESSARSHPNG,Essar Shipping Limited,INE122M01019,BE,NSE
ESSENTIA,Integra Essentia Limited,INE418N01035,EQ,NSE
ESTER,Ester Industries Limited,INE778B01029,EQ,NSE
ETERNAL,ETERNAL LIMITED,INE758T01015,EQ,NSE
ETHOSLTD,Ethos Limited,INE04TZ01018,EQ,NSE
EUREKAFORB,Eureka Forbes Limited,INE0KCE01017,EQ,NSE
EUROTEXIND,Eurotex Industries and Exports Limited,INE022C01012,EQ,NSE
EVEREADY,Eveready Industries India Limited,INE128A01029,EQ,NSE
EVERESTIND,Everest Industries Limited,INE295A01018,BE,NSE
EXCEL,Excel Realty N Infra Limited,INE688J01023,EQ,NSE
EXCELINDUS,Excel Industries Limited,INE369A01029,EQ,NSE
EXICOM,Exicom Tele-Systems Limited,INE777F01014,EQ,NSE
EXICOM-RE,Exicom Tele-Systems Ltd-RE,INE777F20014,BE,NSE
EXIDEIND,Exide Industries Limited,INE302A01020,EQ,NSE
EXPLEOSOL,Expleo Solutions Limited,INE201K01015,EQ,NSE
EXXARO,Exxaro Tiles Limited,INE0GFE01026,BE,NSE
FACT,Fertilizers and Chemicals Travancore Limited,INE188A01015,EQ,NSE
FAIRCHEMOR,Fairchem Organics Limited,INE0DNW01011,EQ,NSE
FAZE3Q,Faze Three Limited,INE963C01033,EQ,NSE
FCL,Fineotex Chemical Limited,INE045J01026,EQ,NSE
FCSSOFT,FCS Software Solutions Limited,INE512B01022,EQ,NSE
FDC,FDC Limited,INE258B01022,EQ,NSE
FEDERALBNK,The Federal Bank  Limited,INE171A01029,EQ,NSE
FEDFINA,Fedbank Financial Services Limited,INE007N01010,EQ,NSE
FEL,Future Enterprises Limited,INE623B01027,BZ,NSE
FELDVR,Future Enterprises Limited,IN9623B01058,BZ,NSE
FIBERWEB,Fiberweb (India) Limited,INE296C01020,EQ,NSE
FIEMIND,Fiem Industries Limited,INE737H01014,EQ,NSE
FILATEX,Filatex India Limited,INE816B01035,EQ,NSE
FILATFASH,Filatex Fashions Limited,INE185E01021,EQ,NSE
FINCABLES,Finolex Cables Limited,INE235A01022,EQ,NSE
FINEORG,Fine Organic Industries Limited,INE686Y01026,EQ,NSE
FINOPB,Fino Payments Bank Limited,INE02NC01014,EQ,NSE
FINPIPE,Finolex Industries Limited,INE183A01024,EQ,NSE
FIRSTCRY,Brainbees Solutions Limited,INE02RE01045,EQ,NSE
FISCHER,Fischer Medical Ventures Limited,INE771F01025,EQ,NSE
FIVESTAR,Five-Star Business Finance Limited,INE128S01021,EQ,NSE
FLAIR,Flair Writing Industries Limited,INE00Y201027,EQ,NSE
FLEXITUFF,Flexituff Ventures International Limited,INE060J01017,BE,NSE
FLUOROCHEM,Gujarat Fluorochemicals Limited,INE09N301011,EQ,NSE
FMGOETZE,Federal-Mogul Goetze (India) Limited.,INE529A01010,EQ,NSE
FMNL,Future Market Networks Limited,INE360L01017,BE,NSE
FOCUS,Focus Lighting and Fixtures Limited,INE593W01028,BE,NSE
FOODSIN,Foods & Inns Limited,INE976E01023,BE,NSE
FORCEMOT,FORCE MOTORS LTD,INE451A01017,EQ,NSE
FORTIS,Fortis Healthcare Limited,INE061F01013,EQ,NSE
FOSECOIND,Foseco India Limited,INE519A01011,EQ,NSE
FSL,Firstsource Solutions Limited,INE684F01012,EQ,NSE
FUSION,Fusion Finance Limited,INE139R01012,EQ,NSE
GABRIEL,Gabriel India Limited,INE524A01029,EQ,NSE
GAEL,Gujarat Ambuja Exports Limited,INE036B01030,EQ,NSE
GAIL,GAIL (India) Limited,INE129A01019,EQ,NSE
GALAPREC,Gala Precision Engineering Limited,INE0RE001014,EQ,NSE
GALAXYSURF,Galaxy Surfactants Limited,INE600K01018,EQ,NSE
GALLANTT,Gallantt Ispat Limited,INE297H01019,EQ,NSE
GANDHAR,Gandhar Oil Refinery (India) Limited,INE717W01049,EQ,NSE
GANDHITUBE,Gandhi Special Tubes Limited,INE524B01027,EQ,NSE
GANECOS,Ganesha Ecosphere Limited,INE845D01014,EQ,NSE
GANESHBE,Ganesh Benzoplast Limited,INE388A01029,EQ,NSE
GANESHHOUC,Ganesh Housing Corporation Limited,INE460C01014,EQ,NSE
GANGAFORGE,Ganga Forging Limited,INE691Z01023,EQ,NSE
GANGESSECU,Ganges Securities Limited,INE335W01016,EQ,NSE
GARFIBRES,Garware Technical Fibres Limited,INE276A01018,EQ,NSE
GARUDA,Garuda Construction and Engineering Limited,INE0JVO01026,EQ,NSE
GATECH,GACM Technologies Limited,INE224E01028,BE,NSE
GATECHDVR,GACM Technologies Limited,INE224E01036,BE,NSE
GATEWAY,Gateway Distriparks Limited,INE079J01017,EQ,NSE
GAYAHWS,Gayatri Highways Limited,INE287Z01012,BE,NSE
GAYAPROJ,Gayatri Projects Limited,INE336H01023,BZ,NSE
GEECEE,GeeCee Ventures Limited,INE916G01016,EQ,NSE
GEEKAYWIRE,Geekay Wires Limited,INE669X01024,EQ,NSE
GENCON,Generic Engineering Construction and Projects Limited,INE854S01022,BE,NSE
GENESYS,Genesys International Corporation Limited,INE727B01026,EQ,NSE
GENUSPAPER,Genus Paper & Boards Limited,INE949P01018,EQ,NSE
GENUSPOWER,Genus Power Infrastructures Limited,INE955D01029,EQ,NSE
GEOJITFSL,Geojit Financial Services Limited,INE007B01023,EQ,NSE
GEPIL,GE Power India Limited,INE878A01011,EQ,NSE
GESHIP,The Great Eastern Shipping Company Limited,INE017A01032,EQ,NSE
GFLLIMITED,GFL Limited,INE538A01037,EQ,NSE
GHCL,GHCL Limited,INE539A01019,EQ,NSE
GHCLTEXTIL,GHCL Textiles Limited,INE0PA801013,EQ,NSE
GICHSGFIN,GIC Housing Finance Limited,INE289B01019,EQ,NSE
GICRE,General Insurance Corporation of India,INE481Y01014,EQ,NSE
GILLANDERS,Gillanders Arbuthnot & Company Limited,INE047B01011,EQ,NSE
GILLETTE,Gillette India Limited,INE322A01010,EQ,NSE
GINNIFILA,Ginni Filaments Limited,INE424C01010,BE,NSE
GIPCL,Gujarat Industries Power Company Limited,INE162A01010,EQ,NSE
GKWLIMITED,GKW Limited,INE528A01020,EQ,NSE
GLAND,Gland Pharma Limited,INE068V01023,EQ,NSE
GLAXO,GlaxoSmithKline Pharmaceuticals Limited,INE159A01016,EQ,NSE
GLENMARK,Glenmark Pharmaceuticals Limited,INE935A01035,EQ,NSE
GLFL,Gujarat Lease Financing Limited,INE540A01017,BE,NSE
GLOBAL,Global Education Limited,INE291W01037,BE,NSE
GLOBALE,Globale Tessile Limited,INE0URU01010,BE,NSE
GLOBALVECT,Global Vectra Helicorp Limited,INE792H01019,EQ,NSE
GLOBE,Globe Textiles (India) Limited,INE581X01021,EQ,NSE
GLOBECIVIL,Globe Civil Projects Limited,INE0V3U01015,EQ,NSE
GLOBUSSPR,Globus Spirits Limited,INE615I01010,EQ,NSE
GLOSTERLTD,Gloster Limited,INE350Z01018,EQ,NSE
GMBREW,GM Breweries Limited,INE075D01018,EQ,NSE
GMDCLTD,Gujarat Mineral Development Corporation Limited,INE131A01031,EQ,NSE
GMMPFAUDLR,GMM Pfaudler Limited,INE541A01023,EQ,NSE
GMRAIRPORT,GMR AIRPORTS LIMITED,INE776C01039,EQ,NSE
GMRP&UI,GMR Power and Urban Infra Limited,INE0CU601026,EQ,NSE
GNA,GNA Axles Limited,INE934S01014,EQ,NSE
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,INE113A01013,EQ,NSE
GOACARBON,Goa Carbon Limited,INE426D01013,EQ,NSE
GOCLCORP,GOCL Corporation Limited,INE077F01035,EQ,NSE
GOCOLORS,Go Fashion (India) Limited,INE0BJS01011,EQ,NSE
GODAVARIB,Godavari Biorefineries Limited,INE497S01012,BE,NSE
GODFRYPHLP,Godfrey Phillips India Limited,INE260B01028,EQ,NSE
GODHA,Godha Cabcon & Insulation Limited,INE925Y01036,BE,NSE
GODIGIT,Go Digit General Insurance Limited,INE03JT01014,EQ,NSE
GODREJAGRO,Godrej Agrovet Limited,INE850D01014,EQ,NSE
GODREJCP,Godrej Consumer Products Limited,INE102D01028,EQ,NSE
GODREJIND,Godrej Industries Limited,INE233A01035,EQ,NSE
GODREJPROP,Godrej Properties Limited,INE484J01027,EQ,NSE
GOENKA,Goenka Diamond and Jewels Limited,INE516K01024,BZ,NSE
GOKEX,Gokaldas Exports Limited,INE887G01027,EQ,NSE
GOKUL,Gokul Refoils and Solvent Limited,INE020J01029,EQ,NSE
GOKULAGRO,Gokul Agro Resources Limited,INE314T01025,EQ,NSE
GOLDENTOBC,Golden Tobacco Limited,INE973A01010,BZ,NSE
GOLDIAM,Goldiam International Limited,INE025B01025,EQ,NSE
GOLDTECH,AION-TECH SOLUTIONS LIMITED,INE805A01014,EQ,NSE
GOODLUCK,Goodluck India Limited,INE127I01024,EQ,NSE
GOPAL,Gopal Snacks Limited,INE0L9R01028,EQ,NSE
GOYALALUM,Goyal Aluminiums Limited,INE705X01026,EQ,NSE
GPIL,Godawari Power And Ispat limited,INE177H01039,EQ,NSE
GPPL,Gujarat Pipavav Port Limited,INE517F01014,EQ,NSE
GPTHEALTH,GPT Healthcare Limited,INE486R01017,EQ,NSE
GPTINFRA,GPT Infraprojects Limited,INE390G01014,EQ,NSE
GRANULES,Granules India Limited,INE101D01020,EQ,NSE
GRAPHITE,Graphite India Limited,INE371A01025,EQ,NSE
GRASIM,Grasim Industries Limited,INE047A01021,EQ,NSE
GRAVITA,Gravita India Limited,INE024L01027,EQ,NSE
GREAVESCOT,Greaves Cotton Limited,INE224A01026,EQ,NSE
GREENLAM,Greenlam Industries Limited,INE544R01021,EQ,NSE
GREENPANEL,Greenpanel Industries Limited,INE08ZM01014,EQ,NSE
GREENPLY,Greenply Industries Limited,INE461C01038,EQ,NSE
GREENPOWER,Orient Green Power Company Limited,INE999K01014,EQ,NSE
GRINDWELL,Grindwell Norton Limited,INE536A01023,EQ,NSE
GRINFRA,G R Infraprojects Limited,INE201P01022,EQ,NSE
GRMOVER,GRM Overseas Limited,INE192H01020,EQ,NSE
GROBTEA,The Grob Tea Company Limited,INE646C01018,BE,NSE
GRPLTD,GRP Limited,INE137I01015,EQ,NSE
GRSE,Garden Reach Shipbuilders & Engineers Limited,INE382Z01011,EQ,NSE
GRWRHITECH,Garware Hi-Tech Films Limited,INE291A01017,EQ,NSE
GSFC,Gujarat State Fertilizers & Chemicals Limited,INE026A01025,EQ,NSE
GSLSU,Global Surfaces Limited,INE0JSX01015,EQ,NSE
GSPL,Gujarat State Petronet Limited,INE246F01010,EQ,NSE
GSS,GSS Infotech Limited,INE871H01011,EQ,NSE
GTECJAINX,G-TEC JAINX EDUCATION LIMITED,INE586X01012,BE,NSE
GTL,GTL Limited,INE043A01012,EQ,NSE
GTLINFRA,GTL Infrastructure Limited,INE221H01019,EQ,NSE
GTPL,GTPL Hathway Limited,INE869I01013,EQ,NSE
GUFICBIO,Gufic Biosciences Limited,INE742B01025,EQ,NSE
GUJALKALI,Gujarat Alkalies and Chemicals Limited,INE186A01019,EQ,NSE
GUJAPOLLO,Gujarat Apollo Industries Limited,INE826C01016,EQ,NSE
GUJGASLTD,Gujarat Gas Limited,INE844O01030,EQ,NSE
GUJRAFFIA,Gujarat Raffia Industries Limited,INE610B01024,EQ,NSE
GUJTHEM,Gujarat Themis Biosyn Limited,INE942C01045,EQ,NSE
GULFOILLUB,Gulf Oil Lubricants India Limited,INE635Q01029,EQ,NSE
GULFPETRO,GP Petroleums Limited,INE586G01017,EQ,NSE
GULPOLY,Gulshan Polyols Limited,INE255D01024,EQ,NSE
GVKPIL,GVK Power & Infrastructure Limited,INE251H01024,BE,NSE
GVPTECH,GVP Infotech Limited,INE382T01030,EQ,NSE
GVPTECH-RE,GVP Infotech Limited-RE,INE382T20014,BE,NSE
GVT&D,GE Vernova T&D India Limited,INE200A01026,EQ,NSE
HAL,Hindustan Aeronautics Limited,INE066F01020,EQ,NSE
HAPPSTMNDS,Happiest Minds Technologies Limited,INE419U01012,EQ,NSE
HAPPYFORGE,Happy Forgings Limited,INE330T01021,EQ,NSE
HARDWYN,Hardwyn India Limited,INE626Z01029,BE,NSE
HARIOMPIPE,Hariom Pipe Industries Limited,INE00EV01017,EQ,NSE
HARRMALAYA,Harrisons  Malayalam Limited,INE544A01019,EQ,NSE
HARSHA,Harsha Engineers International Limited,INE0JUS01029,EQ,NSE
HATHWAY,Hathway Cable & Datacom Limited,INE982F01036,EQ,NSE
HATSUN,Hatsun Agro Product Limited,INE473B01035,EQ,NSE
HAVELLS,Havells India Limited,INE176B01034,EQ,NSE
HAVISHA,Sri Havisha Hospitality and Infrastructure Limited,INE293B01029,BE,NSE
HBLENGINE,HBL Engineering Limited,INE292B01021,EQ,NSE
HBSL,HB Stockholdings Limited,INE550B01022,BE,NSE
HCC,Hindustan Construction Company Limited,INE549A01026,BE,NSE
HCG,Healthcare Global Enterprises Limited,INE075I01017,EQ,NSE
HCL-INSYS,HCL Infosystems Limited,INE236A01020,BE,NSE
HCLTECH,HCL Technologies Limited,INE860A01027,EQ,NSE
HDBFS,HDB Financial Services Limited,INE756I01012,EQ,NSE
HDFCAMC,HDFC Asset Management Company Limited,INE127D01025,EQ,NSE
HDFCBANK,HDFC Bank Limited,INE040A01034,EQ,NSE
HDFCLIFE,HDFC Life Insurance Company Limited,INE795G01014,EQ,NSE
HEADSUP,Heads UP Ventures Limited,INE759V01019,EQ,NSE
HECPROJECT,HEC Infra Projects Limited,INE558R01013,BE,NSE
HEG,HEG Limited,INE545A01024,EQ,NSE
HEIDELBERG,HeidelbergCement India Limited,INE578A01017,EQ,NSE
HEMIPROP,Hemisphere Properties India Limited,INE0AJG01018,EQ,NSE
HERANBA,Heranba Industries Limited,INE694N01015,EQ,NSE
HERCULES,Hercules Hoists Limited,INE688E01024,BE,NSE
HERITGFOOD,Heritage Foods Limited,INE978A01027,EQ,NSE
HEROMOTOCO,Hero MotoCorp Limited,INE158A01026,EQ,NSE
HESTERBIO,Hester Biosciences Limited,INE782E01017,EQ,NSE
HEUBACHIND,Heubach Colorants India Limited,INE492A01029,EQ,NSE
HEXATRADEX,Hexa Tradex Limited,INE750M01017,EQ,NSE
HEXT,Hexaware Technologies Limited,INE093A01041,EQ,NSE
HFCL,HFCL Limited,INE548A01028,EQ,NSE
HGINFRA,H.G. Infra Engineering Limited,INE926X01010,EQ,NSE
HGS,Hinduja Global Solutions Limited,INE170I01016,EQ,NSE
HIKAL,Hikal Limited,INE475B01022,EQ,NSE
HILTON,Hilton Metal Forging Limited,INE788H01017,BE,NSE
HIMATSEIDE,Himatsingka Seide Limited,INE049A01027,EQ,NSE
HINDALCO,Hindalco Industries Limited,INE038A01020,EQ,NSE
HINDCOMPOS,Hindustan Composites Limited,INE310C01029,EQ,NSE
HINDCON,Hindcon Chemicals Limited,INE642Y01029,EQ,NSE
HINDCOPPER,Hindustan Copper Limited,INE531E01026,EQ,NSE
HINDMOTORS,Hindustan Motors Limited,INE253A01025,BE,NSE
HINDOILEXP,Hindustan Oil Exploration Company Limited,INE345A01011,EQ,NSE
HINDPETRO,Hindustan Petroleum Corporation Limited,INE094A01015,EQ,NSE
HINDUNILVR,Hindustan Unilever Limited,INE030A01027,EQ,NSE
HINDWAREAP,Hindware Home Innovation Limited,INE05AN01011,EQ,NSE
HINDZINC,Hindustan Zinc Limited,INE267A01025,EQ,NSE
HIRECT,Hind Rectifiers Limited,INE835D01023,EQ,NSE
HISARMETAL,Hisar Metal Industries Limited,INE598C01011,EQ,NSE
HITECH,Hi-Tech Pipes Limited,INE106T01025,EQ,NSE
HITECHCORP,Hitech Corporation Limited,INE120D01012,EQ,NSE
